source_url,website,booth,description,categories,name,linkedin_url,industry,keywords,enriched_summary,personalized_first_line
https://camx2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=781,https://www.eastmancuts.com/,"Eastman Machine Company is a fifth-generation, American cutting machine manufacturer located in Buffalo, NY. Eastman offers the industry’s widest range of classic, hand-held and manually-operated fabric cutting machines; as well as a comprehensive line of fully automated, computerized cutting and plotting systems. Eastman is committed to manufacturing solutions proven to be simpler to operate, less expensive to maintain, and customized specific to cutting and handling the most diverse range of traditional, modern, and industrial fabrics in the market today. Manufactured with the highest quality materials, built to precise specifications, and subject to rigorous testing, Eastman’s line of cutting systems has been setting the standard for over a century.  T25 to see precision cutting in action!",Map Your Show,"Cutting Equipment, Manufacturing Process Development",Eastman Machine Company,https://www.linkedin.com/company/eastman-machine-company,Advanced Manufacturing,,Map Your Show,"Eastman's cutting equipment is a game-changer, how's it streamlining manufacturing processes?"
https://camx2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=102,https://www.3accorematerials.com/,,Map Your Show,"Core Materials, Foams, Testing Laboratory",3A Composites Core Materials / Baltek Inc.,https://www.linkedin.com/company/972720/,Advanced Manufacturing,,Map Your Show,"Impressed by Baltek's advanced core materials for aerospace and automotive applications, what's next?"
https://camx2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=366,https://www.3m.com/,,Map Your Show,"Education/Training, Thermoplastics, Aerospace",3M Transportation & Energy Business,https://www.linkedin.com/company/3m,Advanced Manufacturing,,Map Your Show,"Noticed 3M's thermoplastics expertise at CAMX, how's it impacting aerospace innovation?"
https://camx2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=367,https://www.braider.com,,Map Your Show,"Preforms, Reinforcements, Thermoplastics, Fabrics",A&P Technology,https://www.linkedin.com/company/a&p-technology-inc.,Advanced Manufacturing,,Map Your Show,"Noted your preform expertise at CAMX, how do thermoplastics factor in?"
https://camx2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=11725,http://aplus-composites.de/en,,Map Your Show,"Material Research and Development, Thermoplastics, Prepregs, Carbon Fiber Systems, Automated Fiber Placement",A+ Composites GmbH,http://linkedin.com/company/aplus-composites,Advanced Manufacturing,,Map Your Show,"A+ Composites' automated fiber placement tech caught my attention, how's it advancing thermoplastics?"
https://camx2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=254,http://www.abcarter.com,,Map Your Show,"Filament Winding Equipment, Process Control, Testing Equipment, Tools and Tooling Equipment","A.B. Carter, Inc.",https://www.linkedin.com/company/a.b.-carter-inc.,Advanced Manufacturing,,Map Your Show,"A.B. Carter's filament winding equipment caught my attention, how's it optimizing production workflows?"
https://camx2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=255,http://www.prepregs.com,,Map Your Show,"Out-of-Autoclave (OOA), Tooling, Mold and Plugs, Prepregs, Carbon Fiber Systems",A.P.C.M. Manufacturing LLC,,Advanced Manufacturing,,Map Your Show,"A.P.C.M.'s OOA expertise catches my eye, what drove the focus on out-of-autoclave solutions?"
https://camx2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10042,http://www.aalchem.com,,Map Your Show,Cure Initiators/Catalysts,Aalchem,https://www.linkedin.com/company/aalchem/,Advanced Manufacturing,,Map Your Show,"Aalchem's cure initiators caught my attention, how do they optimize manufacturing workflows?"
https://camx2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=368,https://www.abaris.com,"Abaris is the global leader in advanced composite training and services. We offer over 24 courses in design/analysis, manufacturing, repair, and NDI of composite structures. Contact us today or swing by booth #G58 at CAMX to discuss your advanced composite training needs.",Map Your Show,"Repair, Education/Training, Consulting Services, Aerospace, Out-of-Autoclave (OOA)",Abaris Training Resources Inc,https://www.linkedin.com/company/abaris-training/,Advanced Manufacturing,,Map Your Show,"Abaris Training focuses on OOA, how do you see it impacting aerospace manufacturing?"
https://camx2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=12035,http://www.abrasive-tech.com,,Map Your Show,"Cutting Equipment, MRO - Maintenance, Repair, Operations, Fabricating Supplies, Aerospace",Abrasive Technology,http://linkedin.com/company/abrasive-technology,Advanced Manufacturing,,Map Your Show,"Abrasive Technology's cutting equipment is a game-changer for aerospace fabrication, what's driving its adoption?"
https://camx2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=11587,https://www.thecamx.org/privacy-policy/,,Map Your Show,,ACE Awards,https://www.linkedin.com/company/camx---the-composites-and-advanced-materials-expo,Advanced Manufacturing,,Map Your Show,"ACE Awards caught my attention as a Map Your Show exhibitor, what brings you to CAMX?"
https://camx2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=639,https://acmanet.org/,,Map Your Show,"Filament Winding Equipment, Pultrusion Machinery, Glass Fibers, Prepreg Manufacturing/Handling Equipment, Sporting Equipment, Prepregs, Thermoplastics, Education/Training, Core Materials, Infusion Equipment, Tools and Tooling Equipment, Electrical/Electronic, Cutting Equipment, Nano Materials, Resin and/or Gel Coat, Resin Transfer Molding, Aerospace, Out-of-Autoclave (OOA), Repair","ACMA, American Composites Manufacturers Association",https://www.linkedin.com/company/american-composites-manufacturers-association,Advanced Manufacturing,,Map Your Show,Noticed ACMA's extensive range of prepreg manufacturing solutions at CAMX.
https://camx2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=11819,https://www.acxys.com,,Map Your Show,"Material Research and Development, Manufacturing Process Development, Assembly/Bonding Equipment",ACXYS TECHNOLOGIES | Plasma Bound,https://www.linkedin.com/company/acxys-technologies,Advanced Manufacturing,,Map Your Show,"ACXYS TECHNOLOGIES is pushing boundaries with plasma bonding, what applications are you exploring at CAMX?"
https://camx2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=9877,https://www.additiveeng.com/,,Map Your Show,"Aerospace, Tooling, Mold and Plugs, Thermoplastics, Additive Manufacturing",Additive Engineering Solutions,https://www.linkedin.com/company/additive-engineering-solutions/,Advanced Manufacturing,,Map Your Show,"Additive Engineering Solutions is pushing boundaries in aerospace with additive manufacturing, what's driving that focus?"
https://camx2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=11646,http://abg-am.com,,Map Your Show,"Resin and/or Gel Coat, Prepregs, Aerospace, Electrical/Electronic",Aditya Birla Advanced Materials,,Advanced Manufacturing,,Map Your Show,"Noticing Aditya Birla's prepreg innovations, how do they apply to aerospace applications?"
